"year","section","sex","age_group","race","marital_status","total_unemployed","less_5_weeks","5_to_14_weeks","15_plus_weeks","15_to_26_weeks","27_plus_weeks","avg_duration","median_duration"
2023,"race","Total","White, 16+","White",NA,4162,1514,1301,1347,609,737,19.1,8.4
2023,"race","Men",NA,"White",NA,2368,844,731,793,361,431,19.7,8.7
2023,"race","Women",NA,"White",NA,1794,670,570,554,248,306,18.3,8
2023,"race","Total","Black or African American, 16+","Black or African American",NA,1212,368,362,482,197,285,24.4,10.3
2023,"race","Men",NA,"Black or African American",NA,599,176,171,252,101,150,25.9,10.9
2023,"race","Women",NA,"Black or African American",NA,612,191,191,230,95,135,22.9,9.9
2023,"race","Total","Asian, 16+","Asian",NA,344,96,104,144,64,81,24.8,11.2
2023,"race","Men",NA,"Asian",NA,204,53,60,91,38,54,26,12.2
2023,"race","Women",NA,"Asian",NA,139,42,44,53,26,27,22.9,10.1
2023,"race","Total","Hispanic or Latino ethnicity, 16+","Hispanic or Latino",NA,1475,552,454,469,225,244,18.5,8.2
2023,"race","Men",NA,"Hispanic or Latino",NA,839,326,250,264,121,143,18.4,7.9
2023,"race","Women",NA,"Hispanic or Latino",NA,635,227,204,205,104,101,18.5,8.6
2023,"marital","Men",NA,NA,"Married, spouse present",903,311,270,322,147,175,20.8,9.1
2023,"marital","Men",NA,NA,"Widowed, divorced, or  separated",418,131,120,167,68,99,24.4,10.3
2023,"marital","Men",NA,NA,"Never married",2057,708,627,722,317,404,20.7,9.1
2023,"marital","Women",NA,NA,"Married, spouse present",788,296,232,261,109,151,20.8,8.3
2023,"marital","Women",NA,NA,"Widowed, divorced, or  separated",472,164,141,167,65,102,22.4,9.2
2023,"marital","Women",NA,NA,"Never married",1442,502,475,464,219,246,18.6,8.5
2024,"age_sex","Total","16+",NA,NA,6761,2235,2012,2513,1064,1449,21.6,9.6
2024,"age_sex","Total","16-19",NA,NA,823,364,279,180,88,93,12.2,6.2
2024,"age_sex","Total","20-24",NA,NA,1121,388,337,396,187,209,19,9.2
2024,"age_sex","Total","25-34",NA,NA,1586,514,481,591,258,332,20.8,9.6
2024,"age_sex","Total","35-44",NA,NA,1206,371,341,494,192,302,24.9,10.5
2024,"age_sex","Total","45-54",NA,NA,899,264,273,362,151,211,23.3,10.8
2024,"age_sex","Total","55-64",NA,NA,761,220,206,336,136,200,26.2,12
2024,"age_sex","Total","65+",NA,NA,364,115,94,155,53,102,28.9,10.9
2024,"age_sex","Men","16+",NA,NA,3661,1183,1085,1392,579,813,22,9.8
2024,"age_sex","Men","16-19",NA,NA,455,196,153,106,46,60,13.1,6.4
2024,"age_sex","Men","20-24",NA,NA,620,196,197,227,96,131,20.7,9.6
2024,"age_sex","Men","25-34",NA,NA,850,275,257,319,146,173,21.1,9.7
2024,"age_sex","Men","35-44",NA,NA,628,193,171,264,99,164,24.8,10.8
2024,"age_sex","Men","45-54",NA,NA,480,141,143,196,86,110,22.5,11.1
2024,"age_sex","Men","55-64",NA,NA,427,124,118,185,77,108,25.8,11.9
2024,"age_sex","Men","65+",NA,NA,202,58,48,96,28,68,32.1,13.3
2024,"age_sex","Women","16+",NA,NA,3100,1052,927,1121,485,636,21.1,9.3
2024,"age_sex","Women","16-19",NA,NA,369,167,127,74,42,33,11.1,5.9
2024,"age_sex","Women","20-24",NA,NA,501,192,140,169,91,78,16.9,8.6
2024,"age_sex","Women","25-34",NA,NA,736,240,225,271,112,160,20.6,9.5
2024,"age_sex","Women","35-44",NA,NA,578,178,170,230,92,138,25,10.3
2024,"age_sex","Women","45-54",NA,NA,419,122,130,166,65,101,24.3,10.5
2024,"age_sex","Women","55-64",NA,NA,335,95,88,151,59,92,26.7,12.2
2024,"age_sex","Women","65+",NA,NA,163,57,46,59,25,34,24.9,9
2024,"race","Total","White, 16+","White",NA,4599,1607,1370,1622,682,940,20.8,9
2024,"race","Men",NA,"White",NA,2530,867,746,917,381,536,21,9.2
2024,"race","Women",NA,"White",NA,2069,740,624,705,302,403,20.5,8.8
2024,"race","Total","Black or African American, 16+","Black or African American",NA,1318,364,389,566,248,318,23.6,11.7
2024,"race","Men",NA,"Black or African American",NA,677,184,193,301,131,169,24.6,12.3
2024,"race","Women",NA,"Black or African American",NA,641,181,195,265,117,149,22.5,11
2024,"race","Total","Asian, 16+","Asian",NA,410,115,122,173,76,97,22.2,11.4
2024,"race","Men",NA,"Asian",NA,215,58,68,89,36,53,23.3,11.4
2024,"race","Women",NA,"Asian",NA,196,58,54,84,40,44,20.9,11.4
2024,"race","Total","Hispanic or Latino ethnicity, 16+","Hispanic or Latino",NA,1663,591,497,575,253,322,20.4,9
2024,"race","Men",NA,"Hispanic or Latino",NA,890,328,269,293,126,167,19.2,8.4
2024,"race","Women",NA,"Hispanic or Latino",NA,773,263,228,282,127,155,21.9,9.5
2024,"marital","Men",NA,NA,"Married, spouse present",969,329,269,370,150,221,22,9.6
2024,"marital","Men",NA,NA,"Widowed, divorced, or  separated",420,135,121,164,70,94,23.9,10.2
2024,"marital","Men",NA,NA,"Never married",2272,719,695,858,360,499,21.7,9.8
2024,"marital","Women",NA,NA,"Married, spouse present",887,308,261,319,135,184,22,9.2
2024,"marital","Women",NA,NA,"Widowed, divorced, or  separated",546,155,169,222,90,132,23.9,10.7
2024,"marital","Women",NA,NA,"Never married",1666,589,497,580,260,319,19.7,9
2025,"age_sex","Total","16+",NA,NA,7314,2357,2150,2808,1113,1696,23,9.9
2025,"age_sex","Total","16-19",NA,NA,905,378,303,224,118,107,13.5,6.8
2025,"age_sex","Total","20-24",NA,NA,1302,425,405,472,195,277,20.4,9.5
2025,"age_sex","Total","25-34",NA,NA,1645,516,478,651,266,384,22.7,10.3
2025,"age_sex","Total","35-44",NA,NA,1275,394,349,533,202,331,25,10.7
2025,"age_sex","Total","45-54",NA,NA,999,296,264,438,152,286,27,11.8
2025,"age_sex","Total","55-64",NA,NA,797,232,240,325,126,199,26.7,11.3
2025,"age_sex","Total","65+",NA,NA,392,116,111,164,54,110,31.4,10.6
2025,"age_sex","Men","16+",NA,NA,3955,1236,1157,1561,605,957,23.3,10.2
